logP,qed,smiles,inchi,inchi_key_firstblock
1.0,0.6,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6020408163265306,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6040816326530613,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6061224489795918,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6081632653061224,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.610204081632653,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6122448979591837,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6142857142857142,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6163265306122448,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6183673469387755,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6204081632653061,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6224489795918368,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6244897959183673,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6265306122448979,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6285714285714286,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6306122448979592,CC(C)CNC(=S)NC(=O)C=Cc1cncnc1,"InChI=1S/C12H16N4OS/c1-9(2)5-15-12(18)16-11(17)4-3-10-6-13-8-14-7-10/h3-4,6-9H,5H2,1-2H3,(H2,15,16,17,18)",VPRGCZVYOLXZPH
1.0,0.6326530612244897,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.6346938775510204,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.636734693877551,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.6387755102040816,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.6408163265306123,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.6428571428571428,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.6448979591836734,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.6469387755102041,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.6489795918367347,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
1.0,0.6510204081632652,C=CC(=O)NC(=S)NCCc1ccccc1,"InChI=1S/C12H14N2OS/c1-2-11(15)14-12(16)13-9-8-10-6-4-3-5-7-10/h2-7H,1,8-9H2,(H2,13,14,15,16)",LJKRBQXSKCMHKA
